Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
814,04-10-93,10,A,Alkalinity,mg CaCO3/L,40,0.2
814,05-01-94,1,A,Alkalinity,mg CaCO3/L,37,0.2
814,02-05-94,5,A,Alkalinity,mg CaCO3/L,39,0.2
814,05-07-94,7,A,Alkalinity,mg CaCO3/L,40,0.2
814,03-10-94,10,A,Alkalinity,mg CaCO3/L,42,0.2
814,19-01-95,1,A,Alkalinity,mg CaCO3/L,39,0.2
814,03-04-95,4,A,Alkalinity,mg CaCO3/L,39,0.2
814,11-07-95,7,A,Alkalinity,mg CaCO3/L,40,0.2
814,04-10-95,10,A,Alkalinity,mg CaCO3/L,39.9,0.2
814,02-01-96,1,A,Alkalinity,mg CaCO3/L,36.4,0.2
814,08-04-96,4,A,Alkalinity,mg CaCO3/L,35,0.2
814,01-07-96,7,A,Alkalinity,mg CaCO3/L,35.7,0.2
814,03-10-96,10,A,Alkalinity,mg CaCO3/L,38.1,0.2
814,23-01-97,1,A,Alkalinity,mg CaCO3/L,34.4,0.2
814,01-04-97,4,A,Alkalinity,mg CaCO3/L,33.9,0.2
814,01-07-97,7,A,Alkalinity,mg CaCO3/L,35.2,0.2
814,07-10-97,10,A,Alkalinity,mg CaCO3/L,36.3,0.2
814,06-01-98,1,A,Alkalinity,mg CaCO3/L,35.3,0.2
814,07-04-98,4,A,Alkalinity,mg CaCO3/L,36.4,0.2
814,07-07-98,7,A,Alkalinity,mg CaCO3/L,37.6,0.2
814,06-10-98,10,A,Alkalinity,mg CaCO3/L,39.5,0.2
814,04-01-99,1,A,Alkalinity,mg CaCO3/L,35.6,0.2
814,05-04-99,4,A,Alkalinity,mg CaCO3/L,32.9,0.2
814,03-01-00,1,A,Alkalinity,mg CaCO3/L,34.9,0.2
814,03-04-00,4,A,Alkalinity,mg CaCO3/L,35.2,0.2
814,03-07-00,7,A,Alkalinity,mg CaCO3/L,35.9,0.2
814,02-10-00,10,A,Alkalinity,mg CaCO3/L,37.9,0.2
814,02-04-01,4,A,Alkalinity,mg CaCO3/L,37.4,0.2
814,03-07-01,7,A,Alkalinity,mg CaCO3/L,41.4,0.2
814,07-01-02,1,A,Alkalinity,mg CaCO3/L,37.5,0.2
814,01-04-02,4,A,Alkalinity,mg CaCO3/L,37.4,0.2
814,01-07-02,7,A,Alkalinity,mg CaCO3/L,37.8,0.2
814,08-10-02,10,A,Alkalinity,mg CaCO3/L,38.7,0.2
814,06-01-03,1,A,Alkalinity,mg CaCO3/L,36.2,0.2
